# Mon Mar 20 18:18:53 2023
0.000000000000000000e+00,0.000000000000000000e+00
9.999999999999999161e+22,0.000000000000000000e+00
1.999999999999999832e+23,0.000000000000000000e+00
2.999999999999999748e+23,0.000000000000000000e+00
3.999999999999999664e+23,0.000000000000000000e+00
4.999999999999999916e+23,1.011940536330383839e+04
6.000000000000000168e+23,0.000000000000000000e+00
7.000000000000000419e+23,0.000000000000000000e+00
8.000000000000000671e+23,0.000000000000000000e+00
9.000000000000000923e+23,0.000000000000000000e+00
